CMDLINE /usr/bin/python3 DQfDTest.py
MEM 0.761719 1523271282.5569
MEM 21.871094 1523271282.6574
MEM 36.562500 1523271282.7577
MEM 54.867188 1523271282.8580
MEM 132.882812 1523271282.9583
MEM 141.945312 1523271283.0587
MEM 152.003906 1523271283.1591
MEM 164.171875 1523271283.2596
MEM 182.437500 1523271283.3600
MEM 193.859375 1523271283.4605
MEM 202.218750 1523271283.5609
MEM 202.421875 1523271283.6613
MEM 202.421875 1523271283.7618
MEM 202.421875 1523271283.8622
MEM 202.421875 1523271283.9626
MEM 202.421875 1523271284.0630
MEM 202.421875 1523271284.1634
MEM 202.421875 1523271284.2638
MEM 202.421875 1523271284.3643
MEM 202.421875 1523271284.4646
MEM 202.421875 1523271284.5650
MEM 202.421875 1523271284.6655
MEM 202.421875 1523271284.7658
MEM 202.421875 1523271284.8662
MEM 202.421875 1523271284.9666
MEM 202.613281 1523271285.0670
MEM 202.613281 1523271285.1673
MEM 204.667969 1523271285.2678
MEM 216.199219 1523271285.3682
MEM 229.113281 1523271285.4686
MEM 233.878906 1523271285.5691
MEM 265.433594 1523271285.6695
MEM 324.605469 1523271285.7699
MEM 506.171875 1523271285.8703
MEM 687.011719 1523271285.9708
MEM 696.671875 1523271286.0713
MEM 699.316406 1523271286.1717
MEM 699.316406 1523271286.2721
MEM 701.703125 1523271286.3725
MEM 703.019531 1523271286.4729
MEM 704.253906 1523271286.5733
MEM 706.574219 1523271286.6737
MEM 708.523438 1523271286.7742
MEM 710.625000 1523271286.8746
MEM 712.910156 1523271286.9750
MEM 714.765625 1523271287.0754
MEM 716.105469 1523271287.1759
MEM 717.941406 1523271287.2764
MEM 719.804688 1523271287.3769
MEM 721.867188 1523271287.4773
MEM 724.289062 1523271287.5777
MEM 726.519531 1523271287.6782
MEM 728.410156 1523271287.7786
MEM 730.539062 1523271287.8790
MEM 732.601562 1523271287.9794
MEM 734.527344 1523271288.0799
MEM 736.617188 1523271288.1804
MEM 738.242188 1523271288.2809
MEM 739.316406 1523271288.3814
MEM 741.417969 1523271288.4818
MEM 743.480469 1523271288.5823
MEM 745.355469 1523271288.6828
MEM 747.511719 1523271288.7832
MEM 750.207031 1523271288.8836
MEM 752.195312 1523271288.9841
MEM 753.968750 1523271289.0846
MEM 755.812500 1523271289.1850
MEM 757.359375 1523271289.2855
MEM 759.164062 1523271289.3859
MEM 760.195312 1523271289.4864
MEM 761.480469 1523271289.5869
MEM 763.210938 1523271289.6873
MEM 765.015625 1523271289.7878
MEM 766.800781 1523271289.8882
MEM 768.386719 1523271289.9886
MEM 770.234375 1523271290.0890
MEM 772.035156 1523271290.1895
MEM 773.714844 1523271290.2900
MEM 775.410156 1523271290.3904
MEM 777.226562 1523271290.4909
MEM 779.070312 1523271290.5913
