CMDLINE /usr/bin/python3 DQfDTest.py
MEM 780.867188 1523271290.6917
MEM 782.500000 1523271290.7922
MEM 782.757812 1523271290.8926
MEM 784.554688 1523271290.9931
MEM 786.664062 1523271291.0936
MEM 788.398438 1523271291.1940
MEM 790.105469 1523271291.2944
MEM 792.101562 1523271291.3949
MEM 793.734375 1523271291.4953
MEM 795.539062 1523271291.5957
MEM 798.535156 1523271291.6961
MEM 799.675781 1523271291.7965
MEM 801.453125 1523271291.8969
MEM 803.289062 1523271291.9973
MEM 805.074219 1523271292.0977
MEM 806.718750 1523271292.1980
MEM 808.679688 1523271292.2984
MEM 810.207031 1523271292.3989
MEM 811.378906 1523271292.4994
MEM 811.636719 1523271292.5998
MEM 813.527344 1523271292.7003
MEM 815.218750 1523271292.8008
MEM 816.910156 1523271292.9011
MEM 818.800781 1523271293.0016
MEM 820.605469 1523271293.1020
MEM 822.429688 1523271293.2023
MEM 824.246094 1523271293.3027
MEM 826.089844 1523271293.4031
MEM 827.675781 1523271293.5035
MEM 829.417969 1523271293.6039
MEM 831.222656 1523271293.7043
MEM 833.058594 1523271293.8047
MEM 834.859375 1523271293.9051
MEM 836.562500 1523271294.0055
MEM 838.425781 1523271294.1059
MEM 839.675781 1523271294.2063
MEM 852.902344 1523271294.3068
MEM 865.277344 1523271294.4072
MEM 890.800781 1523271294.5077
MEM 909.140625 1523271294.6082
MEM 912.246094 1523271294.7087
MEM 924.226562 1523271294.8091
MEM 948.472656 1523271294.9096
MEM 948.472656 1523271295.0101
MEM 951.375000 1523271295.1106
MEM 1014.742188 1523271295.2111
MEM 1017.503906 1523271295.3115
MEM 1021.058594 1523271295.4120
MEM 1024.835938 1523271295.5125
MEM 1031.035156 1523271295.6130
MEM 1056.558594 1523271295.7134
MEM 1067.902344 1523271295.8139
MEM 1064.074219 1523271295.9144
MEM 1061.324219 1523271296.0149
MEM 1060.324219 1523271296.1153
MEM 1062.898438 1523271296.2158
MEM 1062.738281 1523271296.3164
MEM 1062.738281 1523271296.4169
MEM 1062.738281 1523271296.5173
MEM 1063.039062 1523271296.6177
MEM 1063.039062 1523271296.7182
MEM 1063.796875 1523271296.8187
MEM 1064.792969 1523271296.9191
MEM 1065.812500 1523271297.0195
MEM 1066.546875 1523271297.1200
MEM 1067.554688 1523271297.2204
MEM 1068.546875 1523271297.3209
MEM 1069.554688 1523271297.4214
MEM 1070.292969 1523271297.5218
MEM 1071.292969 1523271297.6222
MEM 1072.292969 1523271297.7226
MEM 1073.296875 1523271297.8230
MEM 1074.304688 1523271297.9234
MEM 1075.296875 1523271298.0238
MEM 1076.296875 1523271298.1242
MEM 1077.292969 1523271298.2246
MEM 1077.300781 1523271298.3250
MEM 1078.394531 1523271298.4254
MEM 1079.398438 1523271298.5259
MEM 1080.394531 1523271298.6263
MEM 1081.406250 1523271298.7267
MEM 1082.398438 1523271298.8271
MEM 1083.144531 1523271298.9275
MEM 1084.164062 1523271299.0279
MEM 1084.394531 1523271299.1284
MEM 1084.648438 1523271299.2289
MEM 1085.394531 1523271299.3293
MEM 1086.394531 1523271299.4298
MEM 1087.144531 1523271299.5302
MEM 1088.164062 1523271299.6306
MEM 1089.144531 1523271299.7310
MEM 1090.144531 1523271299.8314
MEM 1091.144531 1523271299.9318
MEM 1092.164062 1523271300.0322
MEM 1093.144531 1523271300.1326
MEM 1094.148438 1523271300.2330
MEM 1095.164062 1523271300.3333
MEM 1095.937500 1523271300.4337
MEM 1096.894531 1523271300.5341
MEM 1097.894531 1523271300.6345
MEM 1098.898438 1523271300.7349
MEM 1099.898438 1523271300.8353
MEM 1100.914062 1523271300.9357
MEM 1101.906250 1523271301.0361
MEM 1102.898438 1523271301.1365
MEM 1103.929688 1523271301.2369
MEM 1104.921875 1523271301.3373
MEM 1105.921875 1523271301.4377
MEM 1106.675781 1523271301.5381
MEM 1107.691406 1523271301.6385
MEM 1108.671875 1523271301.7389
MEM 1109.675781 1523271301.8393
MEM 1110.691406 1523271301.9397
MEM 1111.671875 1523271302.0401
MEM 1112.683594 1523271302.1405
MEM 1113.199219 1523271302.2410
MEM 1113.199219 1523271302.3414
MEM 1113.671875 1523271302.4419
MEM 1114.675781 1523271302.5423
MEM 1115.671875 1523271302.6427
MEM 1116.691406 1523271302.7431
MEM 1117.671875 1523271302.8435
MEM 1118.699219 1523271302.9439
MEM 1119.421875 1523271303.0443
MEM 1120.449219 1523271303.1447
MEM 1121.421875 1523271303.2451
MEM 1122.433594 1523271303.3456
MEM 1123.425781 1523271303.4460
MEM 1124.457031 1523271303.5463
MEM 1125.425781 1523271303.6468
MEM 1126.183594 1523271303.7471
MEM 1127.171875 1523271303.8476
MEM 1128.175781 1523271303.9481
MEM 1129.171875 1523271304.0486
MEM 1130.171875 1523271304.1491
MEM 1130.925781 1523271304.2495
MEM 1131.921875 1523271304.3499
MEM 1132.421875 1523271304.4504
MEM 1133.191406 1523271304.5509
MEM 1133.707031 1523271304.6514
MEM 1162.839844 1523271304.7518
MEM 1180.886719 1523271304.8523
MEM 1179.906250 1523271304.9528
MEM 1180.933594 1523271305.0533
MEM 1189.441406 1523271305.1537
MEM 1191.246094 1523271305.2542
MEM 1190.542969 1523271305.3547
MEM 1239.941406 1523271305.4552
MEM 1228.617188 1523271305.5555
MEM 1228.617188 1523271305.6558
MEM 1229.410156 1523271305.7562
MEM 1230.429688 1523271305.8566
MEM 1231.171875 1523271305.9570
MEM 1232.160156 1523271306.0574
MEM 1233.171875 1523271306.1578
MEM 1234.160156 1523271306.2582
MEM 1234.929688 1523271306.3586
MEM 1235.910156 1523271306.4591
MEM 1236.914062 1523271306.5595
MEM 1237.914062 1523271306.6599
MEM 1238.910156 1523271306.7603
MEM 1239.914062 1523271306.8607
MEM 1240.929688 1523271306.9611
MEM 1241.910156 1523271307.0615
MEM 1242.910156 1523271307.1619
MEM 1243.679688 1523271307.2623
MEM 1243.679688 1523271307.3628
MEM 1243.679688 1523271307.4633
MEM 1244.414062 1523271307.5637
MEM 1245.410156 1523271307.6641
MEM 1246.414062 1523271307.7646
MEM 1247.410156 1523271307.8650
MEM 1248.414062 1523271307.9654
MEM 1249.445312 1523271308.0658
MEM 1250.421875 1523271308.1662
MEM 1251.410156 1523271308.2666
MEM 1252.437500 1523271308.3670
MEM 1252.910156 1523271308.4675
MEM 1253.910156 1523271308.5679
MEM 1254.910156 1523271308.6684
MEM 1255.910156 1523271308.7688
MEM 1256.929688 1523271308.8692
MEM 1257.703125 1523271308.9696
MEM 1258.671875 1523271309.0700
MEM 1259.687500 1523271309.1704
MEM 1260.687500 1523271309.2707
MEM 1261.671875 1523271309.3712
MEM 1262.703125 1523271309.4716
MEM 1263.667969 1523271309.5719
MEM 1264.667969 1523271309.6723
MEM 1265.437500 1523271309.7726
MEM 1266.421875 1523271309.8730
MEM 1267.417969 1523271309.9734
MEM 1268.429688 1523271310.0739
MEM 1269.203125 1523271310.1743
MEM 1270.171875 1523271310.2748
MEM 1271.167969 1523271310.3752
MEM 1272.167969 1523271310.4756
MEM 1273.195312 1523271310.5760
MEM 1273.921875 1523271310.6765
MEM 1274.953125 1523271310.7769
MEM 1275.921875 1523271310.8774
MEM 1276.953125 1523271310.9779
MEM 1277.667969 1523271311.0783
MEM 1278.679688 1523271311.1788
MEM 1279.667969 1523271311.2792
MEM 1280.667969 1523271311.3796
MEM 1281.667969 1523271311.4800
MEM 1282.695312 1523271311.5805
MEM 1283.429688 1523271311.6809
MEM 1284.429688 1523271311.7812
MEM 1285.429688 1523271311.8817
MEM 1286.429688 1523271311.9821
MEM 1287.421875 1523271312.0825
MEM 1288.167969 1523271312.1830
MEM 1288.167969 1523271312.2835
MEM 1288.167969 1523271312.3839
MEM 1288.667969 1523271312.4844
MEM 1289.667969 1523271312.5848
MEM 1290.417969 1523271312.6852
MEM 1291.417969 1523271312.7856
MEM 1292.421875 1523271312.8860
MEM 1293.453125 1523271312.9864
MEM 1294.421875 1523271313.0868
MEM 1295.453125 1523271313.1872
MEM 1296.484375 1523271313.2877
MEM 1297.398438 1523271313.3881
MEM 1298.398438 1523271313.4885
MEM 1299.265625 1523271313.5889
MEM 1300.035156 1523271313.6893
MEM 1300.550781 1523271313.7897
MEM 1307.511719 1523271313.8902
MEM 1312.667969 1523271313.9907
MEM 1376.089844 1523271314.0911
MEM 1383.566406 1523271314.1916
MEM 1382.363281 1523271314.2920
MEM 1382.363281 1523271314.3925
MEM 1384.679688 1523271314.4930
MEM 1409.945312 1523271314.5935
MEM 1415.359375 1523271314.6939
MEM 1415.695312 1523271314.7944
MEM 1415.695312 1523271314.8949
MEM 1463.933594 1523271314.9954
MEM 1453.058594 1523271315.0958
MEM 1453.058594 1523271315.1961
MEM 1453.828125 1523271315.2965
MEM 1454.664062 1523271315.3969
MEM 1455.437500 1523271315.4973
MEM 1456.421875 1523271315.5978
MEM 1457.414062 1523271315.6983
MEM 1458.156250 1523271315.7987
MEM 1459.152344 1523271315.8991
MEM 1460.179688 1523271315.9995
MEM 1461.152344 1523271316.0999
MEM 1462.164062 1523271316.2003
MEM 1463.152344 1523271316.3008
MEM 1464.156250 1523271316.4012
MEM 1464.929688 1523271316.5016
MEM 1465.906250 1523271316.6020
MEM 1466.906250 1523271316.7024
MEM 1467.906250 1523271316.8027
MEM 1468.906250 1523271316.9031
MEM 1469.906250 1523271317.0036
MEM 1470.906250 1523271317.1041
MEM 1471.664062 1523271317.2046
MEM 1472.652344 1523271317.3050
MEM 1473.656250 1523271317.4055
MEM 1474.664062 1523271317.5060
MEM 1475.402344 1523271317.6064
MEM 1476.429688 1523271317.7068
MEM 1477.402344 1523271317.8072
MEM 1477.914062 1523271317.9076
MEM 1479.046875 1523271318.0081
MEM 1480.050781 1523271318.1085
MEM 1480.796875 1523271318.2089
MEM 1481.800781 1523271318.3093
MEM 1482.808594 1523271318.4098
MEM 1483.800781 1523271318.5102
MEM 1484.546875 1523271318.6106
MEM 1485.550781 1523271318.7110
MEM 1486.546875 1523271318.8114
MEM 1487.550781 1523271318.9118
MEM 1488.582031 1523271319.0122
MEM 1489.550781 1523271319.1126
MEM 1490.546875 1523271319.2130
MEM 1491.558594 1523271319.3133
MEM 1492.546875 1523271319.4137
MEM 1493.296875 1523271319.5141
MEM 1494.296875 1523271319.6145
MEM 1495.300781 1523271319.7150
MEM 1495.300781 1523271319.8155
MEM 1495.300781 1523271319.9160
MEM 1495.300781 1523271320.0165
MEM 1496.050781 1523271320.1169
MEM 1496.796875 1523271320.2174
MEM 1497.796875 1523271320.3178
MEM 1498.800781 1523271320.4182
MEM 1499.796875 1523271320.5186
MEM 1500.800781 1523271320.6190
MEM 1501.796875 1523271320.7194
MEM 1502.546875 1523271320.8198
MEM 1503.558594 1523271320.9203
MEM 1504.296875 1523271321.0207
MEM 1505.296875 1523271321.1211
MEM 1506.296875 1523271321.2215
MEM 1507.296875 1523271321.3219
MEM 1508.300781 1523271321.4223
MEM 1509.296875 1523271321.5228
MEM 1510.046875 1523271321.6233
MEM 1511.050781 1523271321.7238
MEM 1511.796875 1523271321.8243
MEM 1512.800781 1523271321.9247
MEM 1513.808594 1523271322.0251
MEM 1514.816406 1523271322.1255
MEM 1515.796875 1523271322.2259
MEM 1516.933594 1523271322.3263
MEM 1517.683594 1523271322.4267
MEM 1518.683594 1523271322.5271
MEM 1519.695312 1523271322.6275
MEM 1520.683594 1523271322.7280
MEM 1521.710938 1523271322.8285
MEM 1522.437500 1523271322.9289
MEM 1523.433594 1523271323.0294
MEM 1524.187500 1523271323.1298
MEM 1524.683594 1523271323.2303
MEM 1525.453125 1523271323.3307
MEM 1525.968750 1523271323.4312
MEM 1526.484375 1523271323.5318
MEM 1583.718750 1523271323.6323
MEM 1583.718750 1523271323.7327
MEM 1582.679688 1523271323.8332
MEM 1582.679688 1523271323.9336
MEM 1582.679688 1523271324.0341
MEM 1586.027344 1523271324.1346
MEM 1617.996094 1523271324.2350
MEM 1636.042969 1523271324.3355
MEM 1638.105469 1523271324.4360
MEM 1647.386719 1523271324.5365
MEM 1637.785156 1523271324.6370
MEM 1674.839844 1523271324.7375
MEM 1685.937500 1523271324.8380
MEM 1754.394531 1523271324.9383
MEM 1754.394531 1523271325.0386
MEM 1754.906250 1523271325.1389
MEM 1755.906250 1523271325.2393
MEM 1756.894531 1523271325.3398
MEM 1757.894531 1523271325.4402
MEM 1758.664062 1523271325.5407
MEM 1759.664062 1523271325.6411
MEM 1760.648438 1523271325.7415
MEM 1761.644531 1523271325.8419
MEM 1762.414062 1523271325.9424
MEM 1763.394531 1523271326.0428
MEM 1764.406250 1523271326.1432
MEM 1765.406250 1523271326.2437
MEM 1766.179688 1523271326.3441
MEM 1767.210938 1523271326.4445
MEM 1768.144531 1523271326.5450
MEM 1769.156250 1523271326.6454
MEM 1770.144531 1523271326.7458
MEM 1771.156250 1523271326.8462
MEM 1772.156250 1523271326.9466
MEM 1773.148438 1523271327.0470
MEM 1774.148438 1523271327.1474
MEM 1775.148438 1523271327.2477
MEM 1776.144531 1523271327.3481
MEM 1776.906250 1523271327.4486
MEM 1777.898438 1523271327.5490
MEM 1778.906250 1523271327.6494
MEM 1779.164062 1523271327.7499
MEM 1780.148438 1523271327.8503
MEM 1781.179688 1523271327.9507
MEM 1782.156250 1523271328.0511
MEM 1783.144531 1523271328.1515
MEM 1784.156250 1523271328.2519
MEM 1785.144531 1523271328.3523
MEM 1786.144531 1523271328.4527
MEM 1787.144531 1523271328.5531
MEM 1787.914062 1523271328.6536
MEM 1788.898438 1523271328.7540
MEM 1789.898438 1523271328.8544
MEM 1790.894531 1523271328.9548
MEM 1791.894531 1523271329.0552
MEM 1792.648438 1523271329.1557
MEM 1792.648438 1523271329.2562
MEM 1792.648438 1523271329.3567
MEM 1792.648438 1523271329.4571
MEM 1792.648438 1523271329.5576
MEM 1793.656250 1523271329.6580
MEM 1794.648438 1523271329.7584
MEM 1795.644531 1523271329.8588
MEM 1796.398438 1523271329.9592
MEM 1797.394531 1523271330.0596
MEM 1798.398438 1523271330.1600
MEM 1799.394531 1523271330.2604
MEM 1800.394531 1523271330.3608
MEM 1801.394531 1523271330.4612
MEM 1802.406250 1523271330.5617
MEM 1803.144531 1523271330.6621
MEM 1804.148438 1523271330.7625
MEM 1805.144531 1523271330.8629
MEM 1806.148438 1523271330.9633
MEM 1807.164062 1523271331.0637
MEM 1808.164062 1523271331.1641
MEM 1809.148438 1523271331.2645
MEM 1810.148438 1523271331.3649
MEM 1811.144531 1523271331.4653
MEM 1811.894531 1523271331.5657
MEM 1812.894531 1523271331.6661
MEM 1813.898438 1523271331.7665
MEM 1814.894531 1523271331.8669
MEM 1815.906250 1523271331.9673
MEM 1816.937500 1523271332.0676
MEM 1817.710938 1523271332.1680
MEM 1818.656250 1523271332.2684
MEM 1819.894531 1523271332.3688
MEM 1820.648438 1523271332.4692
MEM 1821.679688 1523271332.5696
MEM 1822.656250 1523271332.6700
MEM 1823.644531 1523271332.7704
MEM 1824.394531 1523271332.8709
MEM 1825.148438 1523271332.9714
MEM 1826.179688 1523271333.0720
MEM 1827.210938 1523271333.1724
MEM 1827.726562 1523271333.2729
MEM 1827.726562 1523271333.3734
MEM 1855.312500 1523271333.4737
MEM 1855.312500 1523271333.5742
MEM 1855.312500 1523271333.6747
MEM 1854.144531 1523271333.7752
MEM 1854.144531 1523271333.8757
MEM 1854.144531 1523271333.9761
MEM 1868.320312 1523271334.0766
MEM 1904.929688 1523271334.1771
MEM 1928.906250 1523271334.2776
MEM 1932.000000 1523271334.3780
MEM 1932.000000 1523271334.4785
MEM 1942.828125 1523271334.5790
MEM 1931.875000 1523271334.6795
MEM 2011.097656 1523271334.7800
MEM 1991.652344 1523271334.8805
MEM 2027.839844 1523271334.9810
MEM 1991.921875 1523271335.0814
MEM 1992.175781 1523271335.1817
MEM 1992.949219 1523271335.2821
MEM 1993.980469 1523271335.3825
MEM 1994.921875 1523271335.4829
MEM 1995.921875 1523271335.5834
MEM 1996.949219 1523271335.6838
MEM 1997.921875 1523271335.7842
MEM 1998.671875 1523271335.8846
MEM 1999.675781 1523271335.9851
MEM 2000.675781 1523271336.0854
MEM 2001.675781 1523271336.1858
MEM 2002.671875 1523271336.2862
MEM 2003.691406 1523271336.3866
MEM 2004.683594 1523271336.4869
MEM 2005.671875 1523271336.5873
MEM 2006.683594 1523271336.6876
MEM 2007.457031 1523271336.7880
MEM 2008.425781 1523271336.8884
MEM 2009.421875 1523271336.9888
MEM 2010.425781 1523271337.0892
MEM 2011.425781 1523271337.1896
MEM 2012.421875 1523271337.2901
MEM 2013.191406 1523271337.3905
MEM 2014.222656 1523271337.4909
MEM 2015.175781 1523271337.5914
MEM 2016.171875 1523271337.6918
MEM 2016.425781 1523271337.7922
MEM 2017.183594 1523271337.8927
MEM 2018.171875 1523271337.9932
MEM 2018.921875 1523271338.0936
MEM 2019.933594 1523271338.1940
MEM 2020.921875 1523271338.2944
MEM 2021.949219 1523271338.3948
MEM 2022.675781 1523271338.4953
MEM 2023.683594 1523271338.5958
MEM 2024.683594 1523271338.6962
MEM 2025.421875 1523271338.7967
MEM 2026.449219 1523271338.8972
MEM 2027.480469 1523271338.9976
MEM 2028.433594 1523271339.0980
MEM 2029.421875 1523271339.1984
MEM 2030.421875 1523271339.2988
MEM 2031.171875 1523271339.3992
MEM 2032.191406 1523271339.4995
MEM 2033.175781 1523271339.6000
MEM 2034.171875 1523271339.7004
MEM 2035.171875 1523271339.8008
MEM 2036.191406 1523271339.9012
MEM 2036.925781 1523271340.0016
MEM 2037.925781 1523271340.1020
MEM 2038.933594 1523271340.2024
MEM 2039.925781 1523271340.3028
MEM 2040.921875 1523271340.4032
MEM 2041.949219 1523271340.5036
MEM 2042.921875 1523271340.6040
MEM 2043.433594 1523271340.7045
MEM 2043.433594 1523271340.8049
MEM 2043.433594 1523271340.9053
MEM 2043.433594 1523271341.0058
MEM 2043.433594 1523271341.1063
MEM 2043.433594 1523271341.2068
MEM 2044.421875 1523271341.3072
MEM 2045.449219 1523271341.4076
MEM 2046.433594 1523271341.5079
MEM 2047.441406 1523271341.6084
MEM 2048.421875 1523271341.7087
MEM 2049.421875 1523271341.8092
MEM 2050.183594 1523271341.9095
MEM 2051.175781 1523271342.0099
MEM 2052.183594 1523271342.1103
MEM 2053.214844 1523271342.2107
MEM 2054.175781 1523271342.3111
MEM 2055.171875 1523271342.4115
MEM 2056.171875 1523271342.5119
MEM 2056.941406 1523271342.6123
MEM 2057.933594 1523271342.7126
MEM 2058.925781 1523271342.8130
MEM 2059.921875 1523271342.9134
MEM 2060.949219 1523271343.0138
MEM 2061.722656 1523271343.1142
MEM 2062.425781 1523271343.2146
MEM 2063.199219 1523271343.3151
MEM 2063.714844 1523271343.4155
MEM 2064.488281 1523271343.5160
MEM 2064.488281 1523271343.6165
MEM 2065.519531 1523271343.7170
MEM 2066.035156 1523271343.8175
MEM 2066.035156 1523271343.9179
MEM 2064.945312 1523271344.0185
MEM 2064.945312 1523271344.1190
MEM 2065.199219 1523271344.2194
MEM 2065.199219 1523271344.3199
MEM 2080.152344 1523271344.4204
MEM 2116.246094 1523271344.5209
MEM 2149.503906 1523271344.6214
MEM 2156.722656 1523271344.7219
MEM 2159.816406 1523271344.8222
MEM 2159.820312 1523271344.9227
MEM 2159.820312 1523271345.0232
MEM 2156.292969 1523271345.1237
MEM 2156.292969 1523271345.2241
MEM 2270.410156 1523271345.3246
MEM 2231.527344 1523271345.4251
MEM 2264.683594 1523271345.5256
MEM 2382.445312 1523271345.6260
MEM 2441.226562 1523271345.7265
MEM 2455.921875 1523271345.8270
MEM 2474.742188 1523271345.9275
MEM 2511.867188 1523271346.0280
MEM 2547.960938 1523271346.1285
MEM 2576.835938 1523271346.2289
MEM 2579.929688 1523271346.3294
MEM 2580.187500 1523271346.4299
MEM 2580.187500 1523271346.5304
MEM 2563.875000 1523271346.6309
MEM 2580.113281 1523271346.7314
MEM 2641.730469 1523271346.8319
MEM 2660.808594 1523271346.9324
MEM 2677.566406 1523271347.0329
MEM 2714.949219 1523271347.1333
MEM 2751.558594 1523271347.2338
MEM 2782.496094 1523271347.3343
MEM 2785.074219 1523271347.4348
MEM 2785.847656 1523271347.5352
MEM 2785.847656 1523271347.6357
MEM 2769.460938 1523271347.7362
MEM 2778.742188 1523271347.8367
MEM 2837.523438 1523271347.9372
MEM 2863.304688 1523271348.0377
MEM 2874.390625 1523271348.1382
MEM 2910.226562 1523271348.2386
MEM 2945.546875 1523271348.3391
MEM 2981.382812 1523271348.4396
MEM 2987.570312 1523271348.5401
MEM 2990.921875 1523271348.6406
MEM 2990.921875 1523271348.7411
MEM 2974.531250 1523271348.8416
MEM 2974.531250 1523271348.9421
MEM 3027.378906 1523271349.0425
MEM 3065.277344 1523271349.1432
MEM 3075.847656 1523271349.2437
MEM 3110.136719 1523271349.3441
MEM 3147.003906 1523271349.4447
MEM 3183.871094 1523271349.5452
MEM 3193.152344 1523271349.6456
MEM 3196.503906 1523271349.7461
MEM 3196.503906 1523271349.8466
MEM 3180.125000 1523271349.9471
MEM 3180.125000 1523271350.0476
MEM 3229.367188 1523271350.1481
MEM 3269.328125 1523271350.2486
MEM 3280.671875 1523271350.3491
MEM 3311.609375 1523271350.4496
MEM 3348.476562 1523271350.5500
MEM 3384.054688 1523271350.6505
MEM 3398.234375 1523271350.7510
MEM 3401.585938 1523271350.8514
MEM 3401.585938 1523271350.9519
MEM 3401.585938 1523271351.0524
MEM 3385.203125 1523271351.1529
MEM 3385.203125 1523271351.2533
MEM 3385.203125 1523271351.3538
MEM 3385.203125 1523271351.4543
MEM 3385.203125 1523271351.5548
MEM 3390.093750 1523271351.6553
MEM 3395.765625 1523271351.7558
MEM 3401.695312 1523271351.8563
MEM 3404.015625 1523271351.9568
MEM 3404.531250 1523271352.0572
MEM 3404.531250 1523271352.1577
MEM 3387.898438 1523271352.2582
MEM 3388.671875 1523271352.3587
MEM 3388.671875 1523271352.4592
MEM 3388.671875 1523271352.5597
MEM 3392.812500 1523271352.6602
MEM 3398.484375 1523271352.7607
MEM 3404.671875 1523271352.8612
MEM 3406.734375 1523271352.9616
MEM 3408.281250 1523271353.0621
MEM 3408.281250 1523271353.1626
MEM 3391.585938 1523271353.2631
MEM 3391.585938 1523271353.3636
MEM 3392.097656 1523271353.4641
MEM 3392.097656 1523271353.5646
MEM 3394.675781 1523271353.6651
MEM 3400.605469 1523271353.7656
MEM 3406.277344 1523271353.8661
MEM 3408.597656 1523271353.9665
MEM 3411.691406 1523271354.0670
MEM 3411.691406 1523271354.1675
MEM 3394.968750 1523271354.2681
MEM 3394.968750 1523271354.3686
MEM 3395.730469 1523271354.4691
MEM 3395.730469 1523271354.5696
MEM 3397.019531 1523271354.6701
MEM 3402.949219 1523271354.7706
MEM 3408.621094 1523271354.8711
MEM 3412.230469 1523271354.9715
MEM 3415.324219 1523271355.0720
MEM 3415.335938 1523271355.1725
MEM 3415.335938 1523271355.2731
MEM 3398.597656 1523271355.3736
MEM 3398.597656 1523271355.4741
MEM 3398.597656 1523271355.5745
MEM 3399.945312 1523271355.6750
MEM 3405.617188 1523271355.7755
MEM 3411.031250 1523271355.8760
MEM 3414.382812 1523271355.9765
MEM 3415.671875 1523271356.0770
MEM 3415.671875 1523271356.1774
MEM 3415.671875 1523271356.2779
MEM 3399.722656 1523271356.3783
MEM 3399.722656 1523271356.4787
MEM 3399.722656 1523271356.5791
MEM 3399.722656 1523271356.6797
MEM 3402.812500 1523271356.7802
MEM 3407.968750 1523271356.8807
MEM 3413.382812 1523271356.9811
MEM 3415.187500 1523271357.0816
MEM 3416.476562 1523271357.1821
MEM 3416.476562 1523271357.2826
MEM 3416.476562 1523271357.3831
MEM 3400.320312 1523271357.4836
MEM 3400.320312 1523271357.5840
MEM 3400.320312 1523271357.6845
MEM 3400.320312 1523271357.7850
MEM 3404.699219 1523271357.8854
MEM 3409.855469 1523271357.9858
MEM 3415.269531 1523271358.0863
MEM 3416.300781 1523271358.1867
MEM 3417.074219 1523271358.2874
MEM 3417.074219 1523271358.3880
MEM 3401.332031 1523271358.4886
MEM 3401.332031 1523271358.5891
MEM 3402.355469 1523271358.6896
MEM 3402.613281 1523271358.7900
MEM 3404.160156 1523271358.8905
MEM 3409.832031 1523271358.9909
MEM 3415.503906 1523271359.0914
MEM 3418.855469 1523271359.1918
MEM 3421.949219 1523271359.2924
MEM 3421.949219 1523271359.3929
MEM 3421.949219 1523271359.4933
MEM 3405.230469 1523271359.5938
MEM 3405.484375 1523271359.6942
MEM 3405.484375 1523271359.7945
MEM 3405.484375 1523271359.8949
MEM 3409.089844 1523271359.9953
MEM 3414.503906 1523271360.0956
MEM 3420.175781 1523271360.1960
MEM 3420.949219 1523271360.2963
MEM 3422.238281 1523271360.3967
MEM 3422.238281 1523271360.4970
MEM 3406.500000 1523271360.5974
MEM 3406.500000 1523271360.6977
MEM 3407.261719 1523271360.7981
MEM 3407.261719 1523271360.8983
