CMDLINE /usr/bin/python3 DQfDTest.py
MEM 1.398438 1523271726.5283
MEM 21.937500 1523271726.6286
MEM 32.242188 1523271726.7289
MEM 48.195312 1523271726.8294
MEM 109.027344 1523271726.9298
MEM 133.492188 1523271727.0303
MEM 145.589844 1523271727.1308
MEM 154.218750 1523271727.2312
MEM 166.800781 1523271727.3316
MEM 182.820312 1523271727.4320
MEM 193.285156 1523271727.5325
MEM 201.785156 1523271727.6329
MEM 202.085938 1523271727.7331
MEM 202.085938 1523271727.8336
MEM 202.085938 1523271727.9340
MEM 202.085938 1523271728.0344
MEM 202.085938 1523271728.1348
MEM 202.085938 1523271728.2352
MEM 202.085938 1523271728.3357
MEM 202.085938 1523271728.4361
MEM 202.085938 1523271728.5365
MEM 202.085938 1523271728.6368
MEM 202.085938 1523271728.7371
MEM 202.085938 1523271728.8374
MEM 202.085938 1523271728.9377
MEM 202.085938 1523271729.0382
MEM 202.085938 1523271729.1385
MEM 202.359375 1523271729.2388
MEM 202.359375 1523271729.3392
MEM 207.921875 1523271729.4397
MEM 218.023438 1523271729.5402
MEM 228.542969 1523271729.6406
MEM 234.238281 1523271729.7410
MEM 277.023438 1523271729.8420
MEM 386.878906 1523271729.9425
MEM 549.515625 1523271730.0428
MEM 695.195312 1523271730.1433
MEM 695.453125 1523271730.2438
MEM 698.613281 1523271730.3441
MEM 700.417969 1523271730.4445
MEM 702.320312 1523271730.5450
MEM 703.339844 1523271730.6453
MEM 704.101562 1523271730.7457
MEM 705.640625 1523271730.8461
MEM 707.738281 1523271730.9464
MEM 709.601562 1523271731.0468
MEM 711.921875 1523271731.1471
MEM 713.722656 1523271731.2474
MEM 715.609375 1523271731.3479
MEM 716.707031 1523271731.4483
MEM 718.507812 1523271731.5488
MEM 720.148438 1523271731.6492
MEM 721.992188 1523271731.7495
MEM 724.234375 1523271731.8499
MEM 726.359375 1523271731.9503
MEM 728.207031 1523271732.0506
MEM 730.347656 1523271732.1510
MEM 732.179688 1523271732.2513
MEM 734.316406 1523271732.3516
MEM 736.187500 1523271732.4520
MEM 737.777344 1523271732.5524
MEM 738.855469 1523271732.6527
MEM 740.914062 1523271732.7530
MEM 742.789062 1523271732.8534
MEM 744.644531 1523271732.9537
MEM 746.792969 1523271733.0541
MEM 749.218750 1523271733.1544
MEM 751.042969 1523271733.2548
MEM 752.777344 1523271733.3551
MEM 754.507812 1523271733.4554
MEM 756.265625 1523271733.5557
MEM 757.812500 1523271733.6560
MEM 759.636719 1523271733.7564
MEM 759.890625 1523271733.8567
MEM 761.574219 1523271733.9572
MEM 763.160156 1523271734.0576
MEM 764.964844 1523271734.1580
MEM 766.597656 1523271734.2584
MEM 768.402344 1523271734.3587
MEM 769.886719 1523271734.4591
MEM 771.781250 1523271734.5596
MEM 773.367188 1523271734.6600
MEM 774.914062 1523271734.7604
MEM 776.718750 1523271734.8607
MEM 778.265625 1523271734.9611
MEM 779.941406 1523271735.0615
MEM 781.742188 1523271735.1620
MEM 782.000000 1523271735.2624
MEM 783.546875 1523271735.3628
